"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 23-Jan-2023"
"NIFTY TOTAL MARKET","10,795.55","10,952.55","10,730.55","10,802.00","10,941.60","139.60","1.29","5,14,70,33,359","1,23,874.97","11,201.70","6,252.10","2.23","27.56"
"IFCI","40.80","48.00","40.25","40.00","48.00","8.00","20.00","13,01,59,101","595.09","48.00","9.00","69.01","266.41"
"BOMDYEING","145.00","171.90","145.00","144.15","170.15","26.00","18.04","1,14,92,580","186.36","176.90","53.25","11.95","122.79"
"HFCL","94.25","107.20","93.00","93.65","106.25","12.60","13.45","14,25,18,213","1,453.97","107.20","55.75","28.84","47.35"
"SOUTHBANK","31.00","35.30","30.85","30.75","34.85","4.10","13.33","21,02,89,648","704.26","35.30","13.75","30.39","91.46"
"MIDHANI","440.00","505.65","429.70","440.70","494.00","53.30","12.09","1,37,92,887","664.28","505.65","172.25","23.10","123.82"
"IFBIND","1,013.45","1,155.00","1,013.45","1,008.45","1,130.00","121.55","12.05","10,81,990","120.54","1,155.00","698.00","23.97","27.30"
"MOTILALOFS","1,544.00","1,860.60","1,522.20","1,550.50","1,726.00","175.50","11.32","19,01,553","326.24","1,860.60","551.25","35.21","135.97"
"HCC","32.30","36.00","31.45","32.05","35.55","3.50","10.92","10,39,74,453","359.86","36.00","12.60","22.55","78.45"
"RAMKY","815.25","896.00","815.20","806.10","894.00","87.90","10.90","6,72,393","58.05","896.00","251.50","11.47","184.05"
"HUDCO","149.90","168.20","145.55","149.90","166.00","16.10","10.74","4,69,68,738","744.50","178.30","40.40","56.96","234.85"
"IDBI","76.80","87.00","76.30","76.40","84.25","7.85","10.27","12,37,93,708","1,026.37","87.00","42.90","27.67","53.37"
"NFL","112.85","123.75","109.25","112.05","123.40","11.35","10.13","1,84,43,932","217.71","127.20","55.00","45.82","72.30"
"ALOKINDS","30.30","33.10","29.05","30.10","33.10","3.00","9.97","4,97,94,980","158.50","39.05","10.10","52.42","-"
"MMTC","69.50","75.80","66.70","68.95","75.80","6.85","9.93","1,55,42,706","112.82","89.20","26.30","28.88","118.96"
"DBCORP","325.90","353.75","323.10","321.60","353.50","31.90","9.92","13,35,016","45.86","353.75","92.75","40.09","171.00"
"KEI","3,050.00","3,360.00","2,994.35","3,014.25","3,313.00","298.75","9.91","13,51,575","437.68","3,418.85","1,503.00","8.44","116.50"
"TIPSINDLTD","385.00","421.50","384.10","382.50","420.00","37.50","9.80","16,23,425","65.61","421.50","143.00","18.07","-74.19"
"GANESHHOUC","645.00","701.00","619.00","638.50","700.00","61.50","9.63","4,65,085","30.97","701.00","262.10","77.25","86.46"
"SJVN","104.65","114.00","102.60","103.90","113.85","9.95","9.58","6,15,39,848","674.42","116.50","30.40","26.14","231.82"
"ORIENTCEM","256.70","285.00","255.00","254.90","279.15","24.25","9.51","20,83,764","57.70","287.70","104.60","15.72","116.98"
"VAIBHAVGBL","475.65","520.00","470.05","475.95","519.20","43.25","9.09","25,01,679","125.66","520.00","268.70","27.48","77.35"
"FINOPB","300.00","326.95","300.00","299.30","325.00","25.70","8.59","6,32,766","20.17","379.50","191.20","26.32","26.89"
"GICRE","335.00","374.00","328.30","334.15","361.50","27.35","8.18","74,70,027","266.47","391.00","127.80","15.42","105.44"
"RECLTD","439.95","473.25","435.50","434.75","468.00","33.25","7.65","3,51,98,592","1,628.53","482.00","110.45","14.98","275.95"
"POLICYBZR","859.30","930.00","859.00","860.20","925.00","64.80","7.53","11,09,910","99.88","933.50","390.70","19.35","119.99"
"BORORENEW","573.20","632.50","555.40","566.55","608.60","42.05","7.42","1,27,64,648","775.92","632.50","380.00","43.00","28.02"
